Unité;F;f_schillerArchiv_AB_CAB;Score;f_schillerArchiv_BAEST_CAB;Score
"privatifs-negatifs";3;2;0.4691;1;-0.4691
"autres";108;82;14.1052;26;-14.1052
"#RESTE#";64661;25262;-14.2857;39399;14.2857
