Unité;F;f_schillerArchiv_AB_CAB;Score;f_schillerArchiv_BAEST_CAB;Score
"adjectifs";5;4;1.0941;1;-1.0941
"noms composés";4;4;1.63;0;-1.63
"Geschmack";102;76;12.3857;26;-12.3857
"#RESTE#";64661;25262;-14.2857;39399;14.2857
