Unité;F;f_schillerArchiv_AB_CAB;Score;f_schillerArchiv_BAEST_CAB;Score
"famille de Geschmack";9;8;2.4915;1;-2.4915
"Geschmack";102;76;12.3857;26;-12.3857
"#RESTE#";64661;25262;-14.2857;39399;14.2857
